Posição,Nome,Idade,Naturalidade,Patrimonio (R$ bi),Origem,Texto
64,José Isaac Peres,85,Rio de Janeiro,6.5,Multiplan,"Peres é controlador da Multiplan, que ele fundou em 1974. De capital aberto desde 2007, o grupo administra dezenas de centros comerciais no país, como o Morumbi Shopping, em São Paulo, e o VillageMall e o Barra Shopping, no Rio. Além dos centros de compras, a Multiplan tem seu braço de investimentos imobiliários."
64,Liu Ming Chung,62,Taiwan - naturalizado brasileiro,6.5,Nine Dragons Paper,"Nascido em Taiwan, Liu naturalizou-se brasileiro após morar no país entre as décadas de 1970 e 1980 e graduar-se em odontologia na Universidade de Santo Amaro. Ao lado da esposa, Cheung Yan, criou a Nine Dragons Paper, maior fabricante de embalagens da China. O casal mora em Hong Kong, onde a gigante está listada na bolsa. Sua capacidade de produção é de 18 milhões de toneladas por ano e emprega 20 mil trabalhadores, com unidades em nove cidades da China."
64,Mariana Voigt Schwartz Gomes,39,Santa Catarina,6.5,WEG,"Mariana e seu irmão, o também bilionário Eduardo Voigt Schwartz, receberam parte da participação no capital da WEG de sua mãe, a acionista Miriam Voigt Schwartz."
64,Ruben Feffer,55,São Paulo,6.5,Grupo Suzano,"Irmão de David e Daniel, Ruben é neto do imigrante ucraniano Leon Feffer (1902-1999), que fundou, em 1924, a fábrica de papel que hoje é conhecida como Suzano. Filho do Max Feffer (1926-2001), Binho, como é conhecido, é administrador de empresas e trabalhou na Suzano até a década de 1990, quando passou a se dedicar à música. Hoje tem um trabalho reconhecido como compositor de trilhas sonoras para filmes e comerciais."
71,Iris Pássaro Abravanel e família,77,São Paulo,6.4,SBT,"Estreante na lista e viúva do empresário Senor Abravanel (1930-2024), conhecido como Silvio Santos, Iris e suas seis filhas são herdeiras do patrimônio do apresentador, que inclui atividades no varejo, hotelaria e cosméticos, além do Sistema Brasileiro de Televisão (SBT)."
72,Márcia Pascoal Marçal dos Santos,52,São Paulo,6.3,Marfrig,"Esposa e sócia do empresário Marcos Molina, Márcia divide com ele as ações da MMS, holding controladora da Marfrig. Ela também detém uma participação direta na empresa. Com o aumento do valor de mercado da Marfrig a partir de 2020, Márcia ingressou em separado no clube dos bilionários, do qual antes fazia parte junto com Molina, de onde nunca saiu."
73,Blairo Borges Maggi,69,Paraná,6.2,AMaggi,"Filho de Lucia Maggi, Blairo já foi governador do Mato Grosso duas vezes (2003-2010), senador (2011-2019) e ministro da Agricultura no governo Temer, mas hoje diz estar afastado da política."
73,Itamar Locks,70,Santa Catarina,6.2,AMaggi,Itamar Locks é genro de Lucia Maggi.
75,Antônio Luiz da Cunha Seabra e família,83,São Paulo,6.1,Natura,"Seabra começou a trabalhar aos 15 anos em um fabricante de máquinas de escrever e calculadoras. Criou a Natura em 28 de agosto de 1969 ao lado do sócio Guilherme Peirão Leal. No início, elaborava os produtos na cozinha de sua casa. Em 2020, a companhia comprou a Avon, em um negócio bilionário envolvendo troca de ações. Em 2023, para reduzir dívidas, vendeu a rede Aesop para a L’Oréal por US$ 2,5 bilhões e a rede The Body Shop. A venda da Avon está nos planos. No fim de 2024, Seabra reduziu sua participação na companhia de 14,36% para 4,79% por meio da doação de ações para a esposa e os quatro filhos."
76,Ricardo Villela Marino,51,São Paulo,6.0,Itaúsa,
76,Rodolfo Villela Marino,50,São Paulo,6.0,Itaúsa,"Ricardo e Rodolfo são filhos de Milu Villela, neta do banqueiro que ergueu o Itaú. Os irmãos dividiam com a mãe o controle da Rudric, uma das grandes acionistas do banco até 2017, mas Milu cedeu as ações aos filhos. Ricardo é CEO das operações do Itaú na América Latina."
78,Daniel de Freitas,35,São Paulo,5.8,Character.AI,"O jovem engenheiro da computação formado na Universidade de São Paulo e em Stanford e com passagens pela Microsoft e pelo Google nos EUA criou, junto com o norte-americano Noam Shazeer, seu ex-colega no Google, o chatbot inteligente Character.AI. Lançada em setembro de 2022, a empresa foi vendida no início de agosto de 2024 para o Google, tornando Daniel o primeiro brasileiro a ficar bilionário com investimentos em inteligência artificial."
78,Hugo de Carvalho Ribeiro,73,Minas Gerais,5.8,AMaggi,
78,Marli Maggi Pissollo,71,Rio Grande do Sul,5.8,AMaggi,"Filha e genro de Lucia Maggi, Marli e Hugo controlam a gigante agrícola AMaggi, criada por André Maggi (1927-2001)."
81,João Alves de Queiroz Filho,72,Goiás,5.7,Hypera,"O empresário goianiense controla a Hypera Pharma (antiga Hypermarcas), dona de um vasto portfólio de produtos de consumo, com marcas consagradas como Merthiolate, Episol e Zero-Cal, entre muitas outras. O negócio começou com seu pai em 1969, com a distribuidora Sal Cometa. A marca Arisco entrou no portfólio em 1970, como pagamento de uma dívida, e foi vendida à Unilever em 2000 por US$ 490 milhões."
81,Maria Cristina Frias,61,São Paulo,5.7,PagBank,"Filha do meio do empresário Octávio Frias de Oliveira (1912-2007), Maria Cristina é uma das herdeiras do grupo Folha da Manhã. A família tornou-se bilionária ao investir em tecnologia. Em 2007, os Frias compraram a BRPay, primeira plataforma de pagamentos online do Brasil, hoje denominada PagBank. Maria Cristina foi diretora de redação da Folha de S. Paulo."
83,Jaimes Almeida Junior,67,Santa Catarina,5.5,Almeida Junior,"Self-made man, Jaimes iniciou sua trajetória no setor bancário, trabalhando com financiamentos imobiliários. Optou pelos shoppings em busca de renda estável e recorrente e atualmente domina o mercado de shopping centers de Santa Catarina."
83,Paulo Roberto Godoy Pereira e família,71,São Paulo,5.5,Alupar,"O empresário e seus irmãos José Luiz, Guilherme e Ana Helena são donos da Alupar, holding criada em 2006 e detentora de participações acionárias em dezenas de empresas de transmissão de energia e hidrelétricas no Brasil. Paulo Roberto é o CEO da companhia e vice-presidente do conselho."
85,Lia Maria Aguiar,87,São Paulo,5.4,Bradesco,"Filha do banqueiro Amador Aguiar (1904-1991), Lia é acionista do Bradesco por meio da holding Cidade de Deus. Sem filhos, anunciou que deixará sua fortuna para a fundação que leva seu nome, criada em 2008 em Campos do Jordão (SP). Será a maior doação já feita por uma pessoa física no Brasil."
86,João Adibe Marques,53,São Paulo,5.2,Cimed,"Criado em uma das famílias pioneiras da indústria farmacêutica no país, João Adibe lidera o Grupo Cimed, um dos maiores do país, com forte atuação no segmento de medicamentos genéricos. Sua irmã, Karla Marques Felmanas, é a vice-presidente. Amante (e patrocinador) de esportes, João Adibe foi piloto e montou uma equipe vitoriosa de Stock Car."
87,Ronaldo Cezar Coelho,78,Rio de Janeiro,4.8,Energisa,"Operador do mercado financeiro, Ronaldo ajudou a criar o banco Multiplic e a financeira Losango com Antônio José Carneiro, nos anos 1970. A dupla vendeu os negócios para o grupo Lloyds Bank em 1997 por cerca de US$ 600 milhões. Seguiu carreira política e, no início dos anos 2000, chegou a ser eleito deputado federal pelo Rio de Janeiro, estado em que foi secretário de Saúde. É irmão do ex-árbitro de futebol e excomentarista esportivo Arnaldo Cezar Coelho."
87,Sérgio Luiz Silva Schwartz,64,Santa Catarina,4.8,WEG,"Membro do conselho de administração da WEG, Sérgio Luiz Silva Schwartz é contabilista pela Universidade Regional de Joinville e tem dois MBAs pela Fundação Getulio Vargas. Ocupou várias diretorias na empresa, tendo sido vicepresidente e CFO entre 2008 e 2015."
89,Guilherme Peirão Leal,75,São Paulo,4.6,Natura,"Cofundador da Natura ao lado de Antônio Luiz da Cunha Seabra, Leal é membro do conselho de administração. Tem se dedicado a instituições criadas para promover boas práticas empresariais e ambientais, como o Instituto Ethos."
90,Benjamin Steinbruch,72,Rio de Janeiro,4.5,CSN,Benjamin Steinbruch e a família controlam a Companhia Siderúrgica Nacional (CSN) e são também donos da Vicunha Têxtil e do Banco Fibra. Benjamin preside o conselho de administração da companhia.
91,Décio da Silva,0,Santa Catarina,4.4,WEG,"Estreante na lista, Décio da Silva é presidente do conselho de administração da WEG e um grande acionista da empresa. Filho de um dos fundadores, Eggon João da Silva (o “E” da empresa catarinense), Décio foi CEO da empresa por 18 anos, entre 1989 e 2007, e antes disso ocupou diversos cargos na companhia."
92,Amarílio Proença de Macêdo,80,Ceará,4.2,J. Macêdo,"Amarílio e o irmão Roberto controlam o grupo J. Macêdo, fundado em 1939 pelo pai, José Dias de Macêdo (1919-2018). Com sede em Fortaleza, é a maior empresa de moagem de trigo no Brasil, dona das marcas Dona Benta e Sol. A família tem negócios no mercado de tintas (Hidracor) e de máquinas."
92,Antônio Carlos Canto Porto Filho,82,São Paulo,4.2,BTG Pactual,"O empresário é um dos sócios da BTG Pactual Holding, controladora do banco BTG. Ingressou na companhia como acionista em 1997 depois de passar 28 anos no BCN. Conhecido como Totó no interior paulista, além de investidor em bolsa, é empresário do agronegócio e proprietário de fazendas de leite na região de Mogi Mirim."
92,Mariana Werninghaus de Carvalho,38,Santa Catarina,4.2,WEG,
92,Martin Werninghaus,0,Santa Catarina,4.2,WEG,
92,Ricardo Wernignhaus,40,Santa Catarina,4.2,WEG,"Os irmãos Mariana e Ricardo Werninghaus passaram a dividir a fatia acionária na WEG que pertencia ao pai, Martin Werninghaus, um dos filhos do fundador Geraldo Werninghaus. Com isso, Martin deixou a lista dos bilionários."
97,Marciano Testa,49,Rio Grande do Sul,4.1,Agibank,"Testa é fundador e dono do Agibank, aberto em Porto Alegre em 1999. A estratégia sempre foi conceder empréstimos, especialmente consignados, para clientes de baixa renda e fora dos grandes centros. Em 2024, o lucro líquido do Agibank foi de R$ 870,9 milhões, crescimento de 102,5% na comparação com 2023. A carteira de crédito cresceu 52,1%, para R$ 24 bilhões."
97,Maria Ângela Aguiar Bellizia,69,São Paulo,4.1,Bradesco,"Terceira e mais jovem das filhas do emblemático fundador do Bradesco Amador Aguiar (1904-1991), Maria Ângela teve seus direitos como herdeira reconhecidos em 2019 por meio de um longo processo judicial após a morte do pai, em 1991."
99,Ivan Müller Botelho,91,Minas Gerais,4.0,Energisa,"Por meio da Multisetor, o empresário e a família são controladores da Energisa, um dos maiores grupos de energia do país, do qual Ivan é presidente de honra. A companhia foi criada a partir da Cataguases-Leopoldina, uma empresa da família Botelho. Fundada em 1905, foi pioneira na geração privada de energia e a terceira empresa brasileira a listar suas ações em bolsa, ainda em 1907. Atualmente o grupo reúne 75 subsidiárias pelo país. O clã também é grande acionista da Rede Energia, empresa listada em bolsa, a exemplo da Energisa."
99,Luiz Barsi Filho,86,São Paulo,4.0,Bolsa de valores,"Lenda no mercado acionário brasileiro, Barsi ficou órfão de pai muito cedo. Trabalhou como engraxate e estudou contabilidade antes de começar sua carreira numa corretora de São Paulo. A partir de uma pequena compra de ações, fez fortuna e se tornou um dos maiores investidores brasileiros como pessoa física. Sua filha caçula, Louise Barsi, está seguindo os passos do pai: além de ser grande investidora em bolsa, a economista criou uma empresa de educação financeira que ensina os meandros do mercado acionário."
101,Alair Martins do Nascimento,91,Minas Gerais,3.9,Grupo Martins,"Alair controla o grupo atacadista Martins, criado por ele a partir de um armazém de 110 metros quadrados em Uberlândia (MG), em 1953. A empresa é a única no segmento que chega a todos os municípios brasileiros, com uma oferta de mais de 20 mil itens diferentes. Além do atacado, o conglomerado tem a rede Smart Supermercados, o Tribanco, o Tribanco Seguros, o cartão Tricard, a Universidade Martins do Varejo e o Instituto Alair Martins."
101,Chaim Zaher,70,Líbano - naturalizado brasileiro,3.9,SEB,"Zaher fundou o SEB (Sistema Educacional Brasileiro). Em 2010, ele vendeu as marcas Dom Bosco, Pueri Domus, Name e COC para a britânica Pearson por R$ 888 milhões. Três anos depois, vendeu a rede de ensino superior UniSEB para o grupo Estácio, por R$ 615 milhões, e se tornou o principal acionista. Em 2017, ele recomprou o grupo Pueri Domus, adquiriu a operação da rede canadense Mapple Bear no Brasil e vendeu sua participação na Estácio. Nos últimos 12 meses, o grupo adquiriu uma fintech e uma emissora de televisão na Paraíba."
101,Michael Klein,74,Alemanha - naturalizado brasileiro,3.9,"Casas Bahia, Grupo CB","Ex-controlador das Casas Bahia, o empresário comanda o Grupo CB, que administra o patrimônio e os negócios da família. A holding compreende um braço imobiliário, cujos ativos incluem mais de 300 imóveis. Michael e os filhos seguem como grandes acionistas individuais na Casas Bahia. Seu patrimônio recuou devido à desvalorização das ações da varejista e de uma conversão de dívida que diluiu os acionistas."
104,Carlos Wizard Martins,68,Paraná,3.8,Grupo Multi,"Em 2013, Carlos vendeu as ações do seu grupo Multi (formado por 10 redes de escolas de idiomas e profissionalizantes, como Yázigi e Wizard) para o grupo britânico Pearson por  R$ 1,32 bilhão. Voltou ao mundo da educação em 2017, com a compra de 35% da Wiser, dona das redes NumberOne e Wise Up, do sócio Flávio Augusto da Silva. Em 2023, comprou a rede de ensino de inglês Enjoy, e fez novo movimento em 2024 investindo na escola de negócios Conquer. Sua meta é abrir o capital da Wiser."
104,Celi Elisabete Monteiro de Carvalho,68,Rio de Janeiro,3.8,Monteiro Aranha,"Com a morte de Olavo Egydio Monteiro de Carvalho, em outubro de 2022, aos 80 anos, sua esposa Celi passou a ser a representante, nesta lista, do patrimônio do grupo empresarial Monteiro Aranha, fundado em 1921 como produtora de embalagens de vidro. De capital aberto, a empresa tornou-se especialista em investimentos, além de ser grande acionista das gigantes Ultrapar e Klabin e de manter uma importante carteira de investimentos imobiliários."
104,Elie Horn,81,Síria - naturalizado brasileiro,3.8,Cyrela,"Horn é o principal acionista da construtora Cyrela. Ele passou o comando da empresa aos filhos em 2014 para se dedicar a outros negócios por meio de seu fundo Abaporu e também à filantropia. Em 2017, Horn comprou o Hospital Vera Cruz, em Campinas (SP). O grupo tem participação também na Brasil Agro. Horn é o fundador do Instituto Liberta, voltado ao combate da prostituição infantil, além de ser o único brasileiro na organização filantrópica The Giving Pledge."
104,Guilherme da Costa Paes,57,Rio de Janeiro,3.8,BTG Pactual,"Paes é um dos sócios da BTG Pactual Holding, controladora do banco BTG. Entrou para a instituição em 1994 e tornou-se sócio em 1998. É irmão de Eduardo Paes, prefeito do Rio de Janeiro."
104,Hermes Gazzola,68,Rio Grande do Sul,3.8,Puras,"Depois de transformar um restaurante familiar em uma das maiores empresas de refeições coletivas do Brasil, Gazzola vendeu 100% da Puras ao grupo francês Sodexo, por R$ 1,2 bilhão, em 2011. Desde então, esse patrimônio é gerenciado pelo fundo Puras FO, com investimentos nos mercados financeiro e imobiliário e em empresas de consumo, gás e infraestrutura."
109,Oto de Sá Cavalcante,77,Ceará,3.7,Arco Educação,"O empresário Oto de Sá Cavalcante e sua família controlam a Arco Educação, que abriu o capital na Nasdaq (EUA) em 2018. Depois do IPO, Oto continua sendo o principal acionista da companhia. Seu filho Ari Neto, que também é grande acionista, atua como CEO da companhia. A Arco iniciou um intenso rali de incorporação de empresas – comprou a rede COC e a Dom Bosco, que no passado eram parte do grupo SEB."
110,Daniel Ricardo Behnke,39,Santa Catarina,3.6,WEG,
110,Davi Ricardo Behnke,42,Santa Catarina,3.6,WEG,
110,Eduardo Werninghaus,43,Santa Catarina,3.6,WEG,
110,Felipe Voigt Trejes,23,Santa Catarina,3.6,WEG,"Daniel e Davi Behnke são filhos e herdeiros de Heide Werninghaus Behnke, filha de Geraldo Werninghaus, um dos fundadores da WEG. Depois de passar ações aos filhos, Heide deixou a lista dos bilionários. Eduardo é herdeiro de Armin Werninghaus, filho mais jovem de Geraldo, que morreu em um acidente de carro nos anos 1980. Felipe Voigt Trejes recebeu parte das ações da WEG de sua mãe, Cladis Voigt Trejes."
110,Luisa Werninghaus Bernoldi,40,Santa Catarina,3.6,WEG,Luisa é a outra herdeira de Armin Werninghaus.
110,Pedro Voigt Trejes,23,Santa Catarina,3.6,WEG,"Assim como seus irmãos Felipe e Amelie, Pedro recebeu parte das ações da WEG detidas pela mãe, Cladis Voigt Trejes."
110,Ítalo Nogueira Alves de Melo,44,Goiás,3.6,Teuto,"Desde 1986, a família Melo é dona do laboratório Teuto, fundado pelo alemão Adolfo Krumeir em 1947, em São Paulo. Os irmãos Walterci (1956-2014) e Lucimar de Melo transferiram a indústria para Anápolis (GO)."
117,Amelie Voigt Trejes,20,Santa Catarina,3.4,WEG,"Luisa é a outra herdeira de Armin Werninghaus. Assim como seu irmão Felipe, Pedro e Amelie receberam parte das ações da WEG detidas pela mãe, Cladis Voigt Trejes."
117,Carlos Pires de Oliveira Dias,74,São Paulo,3.4,RaiaDrogasil,"Integrante da família fundadora da Drogasil, Carlos esteve à frente da rede de farmácias até a fusão com a Droga Raia, da família Pipponzi, em 2011. É o maior acionista da RaiaDrogasil. Carlos é marido de Regina Camargo Pires de Oliveira Dias, herdeira da empreiteira Camargo Corrêa. De perfil discreto, também participa do capital da construtora."
117,Flávio Gurgel Rocha,67,Pernambuco,3.4,"Guararapes, Riachuelo","Filho de Nevaldo Rocha (1928-2020), Flávio e os irmãos Élvio e Lisiane herdaram as ações do pai na Guararapes, maior empresa de moda do Brasil e dona da Riachuelo. Com duas fábricas no Nordeste, o grupo controla ainda a Transportadora Casa Verde, o shopping Midway Mall (RN) e dois teatros Riachuelo (RN e RJ)."
117,Sergio Lins Andrade,80,Minas Gerais,3.4,Andrade Gutierrez,Sergio é CEO e um acionista importante do grupo Andrade Gutierrez.
121,Henrique Dubugras,29,São Paulo,3.3,Brex,
121,Nelson Kaufman,69,São Paulo,3.3,Vivara,"O empresário e sua família são donos da Vivara, que fez IPO em 2019. Ele passou parte de sua participação aos filhos, Márcio e Marina. Nelson também era dono da rede de móveis e decoração Etna, que encerrou suas operações em março de 2022. David Kaufman, de origem romena, abriu a primeira loja no centro de São Paulo, em 1962. Em 1974, seu filho Nelson assumiu o negócio. Hoje a Vivara é considerada a maior rede de joalherias do país. Em julho de 2025, Nelson transferiu a presidência do conselho de administração para sua filha Marina."
121,Pedro Franceschi,28,Rio de Janeiro,3.3,Brex,"Os dois amigos são fundadores da Brex, com sede em São Francisco (EUA), criada para atender o mercado de cartões de crédito corporativos. Em janeiro de 2022, a fintech captou US$ 300 milhões das investidoras Greenoaks Capital e TCV, o que lhe garantiu uma avaliação de US$ 12,3 bilhões. A Forbes USA avalia a empresa em US$ 3,4 bilhões. Henrique e Pedro somam uma participação de 28%. A Brex também lançou softwares de gerenciamento de despesas e de pagamento de contas comerciais."
124,Fábio Elias Cury,60,São Paulo,3.2,Cury,"A família Cury detém cerca de 34% da construtora e incorporadora Cury, que fez seu IPO na B3 em setembro de 2020. Desde então, as ações da companhia vêm subindo na bolsa, catapultando o clã para o clube dos bilionários."
124,Jorge Luiz Savi de Freitas,74,Santa Catarina,3.2,Intelbras,"A família Savi de Freitas controla a Intelbras, maior fabricante nacional de câmeras e equipamentos de segurança eletrônica e comunicação do Brasil, fundada em 1976 por Diomício Freitas em São José (SC). Abriu capital em 2021, levantando R$ 1,3 bilhão. Tem 3 mil colaboradores e em 2024 faturou R$ 4,76 bilhões, alta de 15,9% ante 2023."
126,Alice Junqueira Moll,82,Rio de Janeiro,3.1,Rede D’Or,
126,André Francisco Junqueira Moll,51,Rio de Janeiro,3.1,Rede D’Or,
126,Ernesto Corrêa da Silva Filho,85,Rio Grande do Sul,3.1,GetNet,"Ernesto é um empreendedor múltiplo. Criou a gerenciadora de frotas de veículos Embratecm, cujo controle vendeu para a rede Edenred, dona da marca Ticket, por  R$ 790 milhões em 2016. Possui terras no Rio Grande do Sul e no Uruguai, a rede de hotéis Intercity e o Banco Topázio. Já foi dono da processadora de pagamentos GetNet, vendida ao Santander por R$ 1,1 bilhão em 2014. Outra de suas empresas, a Saque e Pague, surgiu como uma subsidiária da GetNet e hoje tem uma participação da Stefanini."
126,Jorge Neval Moll Neto,54,Rio de Janeiro,3.1,Rede D’Or,
126,Paulo Junqueira Moll,44,Rio de Janeiro,3.1,Rede D’Or,
126,Pedro Junqueira Moll,49,Rio de Janeiro,3.1,Rede D’Or,
126,Renata Junqueira Moll Bernardes,53,Rio de Janeiro,3.1,Rede D’Or,"A médica Alice Junqueira Moll é esposa do empresário Jorge Neval Moll Filho (número 10 nesta lista), controlador do
grupo hospitalar Rede D’Or. De acordo com a empresa, em 30 de julho de 2025, a família Moll possuía 47,6% das ações da Rede D’Or, que fez IPO na B3 em dezembro de 2020 como uma das 10 maiores companhias abertas brasileiras em valor de mercado."
133,Ana Maria Marcondes Penido Sant’anna,69,São Paulo,3.0,Motiva,"Ana é filha de Pelerson Soares Penido (19182012), que ajudou a construir Brasília. Ele fundou a agropecuária Roncador e o grupo de construção Serveng, que participou da criação da Motiva, maior concessionária de rodovias do Brasil, antes denominada CCR. Ao lado da irmã Rosa Evangelina, Ana herdou o controle das empresas do pai e a participação acionária na companhia rodoviária. É conselheira da Motiva há 16 anos."
133,João Jacob Vontobel,96,Rio Grande do Sul,3.0,Vonpar,"Fundador da gaúcha Vonpar Refrescos, João vendeu a empresa para a mexicana Femsa, distribuidora da Coca-Cola, em 2016. A Vonpar era engarrafadora do refrigerante no Brasil desde os anos 1950 e, desde os anos 1980, trabalhava com as cervejas Kaiser e Heineken. A família segue com a divisão de alimentos do grupo, que reúne os chocolates Neugebauer, os doces Mu-Mu e as balas Wallerius."
133,Luiz Humberto Pereira,46,Mato Grosso do Sul,3.0,Grupo Pereira,"O Grupo Pereira é um conglomerado varejista brasileiro presidido pelo empresário Luiz Humberto (Beto) Pereira, fundado em 1962 e com operações em vários estados do Brasil, incluindo diversas bandeiras de supermercado e atacarejo, como Fort Atacadista e Comper."
133,Miriam Voigt Schwartz,62,Santa Catarina,3.0,WEG,Miriam é uma acionista importante da WEG e uma das bilionárias catarinenses.
137,Bruna da Silva Bartsch Langsch,39,Santa Catarina,2.9,WEG,
137,Joana Zimmermann da Silva,34,Santa Catarina,2.9,WEG,
137,Luiz Alves Paes de Barros,77,São Paulo,2.9,Bolsa de valores,"Cofundador da gestora Hedging Griffo com Luis Stuhlberger, Paes de Barros é um dos mais antigos investidores da bolsa no Brasil, onde é tratado como lenda. Sua carteira pessoal está concentrada no fundo Poland, que tem como sócios a mulher e o filho. É um dos gestores do Alaska Black, um dos fundos mais ativos da bolsa brasileira."
137,Maria Consuelo Leão Dias Branco,90,Ceará,2.9,M. Dias Branco,"Viúva do empresário Francisco Ivens de Sá Dias Branco (1934-2016), ela é a principal acionista da alimentícia M. Dias Branco, criada pelo marido. A empresa, de capital aberto, ainda é controlada pela família, que também é grande proprietária de imóveis no Ceará. Com a morte de Ivens, os filhos passaram a figurar como acionistas individuais da companhia e participam da lista de bilionários da Forbes."
137,Paula da Silva Janssen,32,Santa Catarina,2.9,WEG,
137,Renata da Silva Janssen Decker,43,Santa Catarina,2.9,WEG,
137,Ricardo Bartsch Filho,38,Santa Catarina,2.9,WEG,
137,Ricardo Valadares Gontijo,75,Minas Gerais,2.9,Direcional,"Ricardo Valadares Gontijo é fundador e presidente do conselho da Direcional Engenharia. Seu filho Ricardo Ribeiro Valadares Gontijo é CEO. A família possui cerca de 36% das ações da empresa, negociada em bolsa desde 2009. Em 2024, o Grupo Direcional registrou R$ 5,8 bilhões em lançamentos e uma receita líquida de R$ 3,3 bilhões."
137,Zaira Zimmermann da Silva,39,Santa Catarina,2.9,WEG,"Bruna e Ricardo são filhos de Katia da Silva Bartsch, uma das filhas do empresário Eggon João da Silva, um dos três fundadores da WEG. Os irmãos receberam as ações da mãe. As irmãs Joana e Zaira são filhas do empresário Décio da Silva e dividiram a participação acionária que lhe pertencia na WEG. Paula e Renata são filhas e herdeiras de Solange da Silva Petry e netas do cofundador da WEG, Eggon João da Silva. Elas receberam a participação acionária pertencente à mãe."
146,Ana Luiza Campos Garfinkel,44,São Paulo,2.8,Porto Seguro,
146,André Street,41,Rio de Janeiro,2.8,Stone,
146,Bruno Campos Garfinkel,47,São Paulo,2.8,Porto Seguro,
146,Carlos Francisco Ribeiro Jereissati,79,Ceará,2.8,Iguatemi,"Jereissati controla a La Fonte Participações, proprietária da rede de shoppings Iguatemi. Irmão do ex-senador Tasso Jereissati, o empresário ainda mantém um de seus primeiros negócios, o Grande Moinho Cearense, fundado em 1959."
146,Cleusa Campos Garfinkel,78,São Paulo,2.8,Porto Seguro,"Ana Luiza e Bruno são filhos de Jayme Garfinkel com a ex-esposa Cleusa e têm parcelas semelhantes no capital da Porto Seguro, uma das maiores seguradoras do Brasil e especializada em seguros automotivos. Desde 2022, Bruno substituiu Jayme no conselho da Porto, nova denominação da seguradora. Cleusa não tem funções executivas. Ana Luiza foi conselheira entre 2019 e o início de 2024."
146,Eduardo Cunha Monnerat Solon Pontes,46,Rio de Janeiro,2.8,Stone,"Street e Pontes são sócios-fundadores da Stone, fintech brasileira que abriu o capital na Nasdaq em 2018. Em abril de 2024, Street anunciou sua saída da presidência do conselho da Stone, permanecendo apenas como acionista."
146,Maria Barros Pinheiro,64,Maranhão,2.8,Grupo Mateus,"Ex-esposa do empresário Ilson Mateus,  do Grupo Mateus, Maria Barros Pinheiro  detém uma fatia acionária relevante na companhia que ajudou a fundar."
146,Silvio Tini de Araújo,76,São Paulo,2.8,Bonsucex,"Fundador do grupo Bonsucex, criado em 1982, o investidor e ex-operador da bolsa é um dos maiores investidores minoritários da Alpargatas, com 10% do capital. Também é acionista do Banco Pan, da Gerdau, da Bombril e da Paranapanema, além de investir em construção, agronegócio e reflorestamento."
154,José Janguiê Bezerra Diniz,61,Paraíba,2.7,Ser Educacional,"Janguiê é fundador da Ser Educacional, de Recife. A empresa abriu capital em 2013 e suas ações apresentaram uma forte alta em 2025.
Ele também investe em imóveis e startups."
155,Cladis Voigt Trejes,56,Santa Catarina,2.5,WEG,
155,Paulo Setubal Neto,75,São Paulo,2.5,Itaúsa,"Paulo é primogênito dos sete filhos do banqueiro Olavo Egydio Setubal (1923-2008), responsável pelo crescimento e pela expansão do Banco Itaú."
155,Valsi Voigt,61,Santa Catarina,2.5,WEG,"Cladis e Valsi são filhas de Werner Ricardo Voigt (1930-2016), cofundador da catarinense WEG."
158,Alexandre Tadeu da Costa,54,São Paulo,2.4,Cacau Show,"Dono e CEO da Cacau Show, começou a carreira vendendo trufas e bombons em padarias de São Paulo nos anos 1990 a bordo de um Fusca 1978. A empresa é hoje uma das maiores redes de lojas de chocolates finos do mundo. Em 2013, a Cacau Show transformou-se em Cacau Par, holding dona da Brigaderia e de três fazendas de cacau em Linhares (ES). A Cacau Show comprou o grupo Playcenter em fevereiro de 2024 e neste ano lançou o projeto de um parque temático chamado Cacau Park, a ser construído em Itu (SP) e com inauguração prevista para 2027."
158,José Carlos Reis de Magalhães Neto,47,São Paulo,2.4,Tarpon,"Fundador e Chief Investment Officer (CIO) da gestora Tarpon, José Carlos está retornando à lista. Ele é dono da Mangue, maior acionista da Tarpon. A gestora já controlou a BRF e hoje dedica-se ao private equity."
160,Alfredo Egydio Setubal,67,São Paulo,2.3,Itaúsa,
160,Ana Maria Levy Villela Igel,83,São Paulo,2.3,Ultrapar,"Viúva de Pery Igel (1921-1998), filho do criador da Ultrapar, Ana Maria é uma das grandes acionistas da companhia, ao lado de Pedro Igel de Barros Salles e sua família."
160,André Fernandes Lopes Dias,51,Rio de Janeiro,2.3,BTG Pactual,"Administrador de empresas pela PUC do Rio, Dias é diretor estatutário e Chief Risk Officer (CRO) do BTG Pactual. Começou a trabalhar na área de crédito do banco em 1997, vindo da empresa de auditoria KPMG. Em 2004, tornouse responsável pela área de controle de risco de crédito."
160,Bruno Duque Horta Nogueira,47,São Paulo,2.3,Itaúsa,"Advogado pela Faculdade de Direito do Largo São Francisco, Horta Nogueira é diretor estatutário e responsável pelo departamento jurídico global do BTG Pactual, onde começou a trabalhar no ano 2000. Antes do BTG, Nogueira trabalhou na Eletropaulo, no Grupo Rede e na Agência Nacional de Energia (Aneel)."
